title,Manually Entered?,Image,Image Caption,Image Source,Rights Holder,Description,Author,Editor,Translator,Type,Original Language,Copyright Status,Copyright Date
Roger Fry: A Biography,,,,,,"Woolf's only full-length serious biography, this account of her friend's life has been criticized for its lack of experimentation and for a failure to put Woolf's own theories of biography into practice. The difficulties of writing the book for Woolf were many, not least of which was that the demands of Fry's family made it diffcult for her to make independent choices about her methods and descriptions of his life.",Virginia Woolf,,,Biography,English,,1940
"Daylight: European Arts and Letters Yesterday, Today, and Tomorrow Volume 1 (1941)",,,,,,Companion series to New Writing led by John Lehmann,,John Lehmann,,Anthology,English,,1941
Folios of New Writing (Spring 1941),,,,,,New Writing,,John Lehmann,,Anthology,English,,1941
Folios of New Writing (Autumn 1941),,,,,,New Writing,,John Lehmann,,Anthology,English,,1941
The Colour Bar in East Africa,,,,,,Another of Leys' accounts of the racial politics of Africa.,Norman Leys,,,Politics,English,,1941
Why the German Republic Fell and Other Studes of the Causes and Consequences of Economic Equality,,,,,,A study of the relationship between German economic policies and socio-political inequities.,,A. W. Madsen,,Economics,English,,1941
Hilda Matheson,,,,,,"This is a commemorative volume containing reminiscences written by friends and colleagues and a biographical introduction. Hilda Matheson was an MI5 agent who was stationed in Rome and tasked with creating an office there like the one in London and bringing together military, navel and commercial forces. Upon Matheson's return to England she worked for a while as Lady Astor's political secretary, and then moved to the B. B. C. She undertook the African Survey and was highly respected in many circles.",,,,Biography,English,,1941
Selected Poems,,,,,,"The New Hogarth Library: The last poetic series to be published by the Press and one infrequently discussed among critics, partly perhaps because the Press did not very aggressively promote it, this series contains a number of Selected Works of well-known modernist poets, often writers whose early works the Press had also published.",Herman Melville,,,Poetry,English,,1941
Portrait of a Lady or The English Spirit Old and New,,PortraitOfALadyOrTheEnglishSpiritOldAndNew_001.tif,"front cover of ""Portrait of a Lady or The English Spirit Old and New"" ",Bruce Peel Library,Penguin Random House Archive and Library,"An odd document that attempts to describe the change undergone by English society at the turn of the 19th century by describing the life of one (fictional?) person, Mrs. Thompson, who represents in her own person the changes in definitions of Englishness. The author describes Mrs. Thompson as 'the most self- contradictory person' and one who 'reflects equally the secure order of mid- Victorian days and the hour of the latest attempt to destroy London' (15).",Elizabeth Robins,,,Literary Criticism,English,,1941
Selected Poems,,,,,,New Hogarth Library,Vita Sackville-West,,,Poetry,English,,1941
Aftermath,,,,,,,R. C. Trevelyan,,,Poetry,English,,1941
Poems,,,,,,New Hogarth Library,Terence Tiller,,,Poetry,English,,1941
Between the Acts,,betweenacts_002_front.jpg,"Vanessa Bell, dust jacket of ""Between the Acts""",Bruce Peel Library,Henrietta Garnett,,Virginia Woolf,,,Novel,English,,1941
Selected Poems,,poems.r.m.bilke_002_front.jpg,"dust jacket of ""Selected Poems""",Bruce Peel Library,Penguin Random House Archive and Library,New Hogarth Library,Rainer Maria Rilke,,,Poetry,German,,1941
Admiral's Widow,,,,,,Being the Life and Letters of the Hon. Mrs. Edward Boscawen from 1761 to 1805,Cecil Aspinall-Oglander,,,Biography,English,,1942
The Middle of the War,,,,,,New Hogarth Library,Roy Fuller,,,Poetry,English,,1942
The Calcium Bread Scandal,,,,,,"This book criticizes the 'wildcat schemes' proposed by the Food Ministry in adding vitamin and nutrient supplementation to basic foods. Harris argues that the addition of calcium to bread. He attempts to explain in plain language the medical facts about calcium deficiency (so rare a disease, he argues, that adding calcium to everyone's bread in order to attempt to eliminate it is like burning down a house in order to roast a pig). He additionally explains that adding calcium alone as a supplement does nothing if there isn't adequate Vitamin D to help with absorption.",Ian Harris,,,Medicine,English,,1942
Work in Hand,,,,,,New Hogarth Library,Alan Hodge|Norman Cameron|Robert Graves,,,Anthology,English,,1942
Forty Poems,,,,,,New Hogarth Library,,John Lehmann,,Anthology,English,,1942
New Writing and Daylight (Summer 1942),,,,,,New Writing,,John Lehmann,,Anthology,English,,1942
Poets of Tomorrow (Third Selection),,,,,,New Writing,,John Lehmann,,Anthology,English,,1942
Channel Packet,,,,,,"A collection of essays literary and biographical by a journalist. The subjects include Browning, Ezra Pound, Lytton Strachey, the Amberley Papers, Matthew Arnold and Samuel Johnson, among others.",Raymond Mortimer,,,Novel,English,,1942
Selected Verse Poems,,,,,,New Hogarth Library,Arthur Rimbaud,,,Poetry,English,,1942
Lost Planet and Other Poems,,,,,,New Hogarth Library,Dorothy Wellesley,,,Poetry,English,,1942
The Death of the Moth and Other Essays,,,,,,,Virginia Woolf,,,Literary Criticism,English,,1942
From Thirty Years With Freud,,,,,,Psycho-Analytic Library,Theodor Reik,,,Psychoanalysis,German,,1942
Caught,,,,,,"A Blitz novel, describing the lives of firefighters as they wait for the bombing to begin.",Henry Green,,,Novel,English,,1943
For My Brother,,,,,,A True Story by Jos' Mart'nez Berlanga as Told to Lincoln Kirstein,Lincoln Kirsein,,,Biography,English,,1943
New Writing and Daylight (Winter 1942-3),,,,,,New Writing,,John Lehmann,,Anthology,English,,1943
New Writing and Daylight (Summer 1943),,,,,,New Writing,,John Lehmann,,Anthology,English,,1943
Against the Tide,,,,,,"This book is 'essentially a story taken from life' to illustrate the need for recognition of the great 'historical peril' in which the English nation finds itself, and to advocate for political action to stop authoritarian regimes.",Arnim Westerholt,,,Novel,English,,1943
A Haunted House and Other Short Fiction,,hauntedhouse_002_front.jpg,"Vanessa Bell, dust jacket of ""A Haunted House and Other Short Fiction""",Bruce Peel Library,Henrietta Garnett,,Virginia Woolf,,,Short Fiction,English,,1943
Selected Poems,,,,,,New Hogarth Library,Federico Garcia Lorca,,,Poetry,Spanish,,1943
The Three Rings,,,,,,"A children's book illustrated by Trekkie Parsons about three siblings who find three gold rings that will turn them into animals when they twist the rings around their finger and wish to change forms. Their parents are in on the magic, unlike in regular children's books, and are pleased to see their offspring wandering around the jungle of Malaya as lions.",Barbara Baker,,,Children's Literature,English,,1944
A Lost Season,,,,,,New Hogarth Library,Roy Fuller,,,Poetry,English,,1944
Selected Poems,,poemsofholderin_002_front.jpg,"dust jacket of ""Selected Poems""",Bruce Peel Library,Penguin Random House Archive and Library,New Hogarth Library,Friedrich Holderlin,,,Poetry,English,,1944
The Sun My Monument,,,,,,New Hogarth Library,Laurie Lee,,,Poetry,English,,1944
New Writing and Daylight (Winter 1943-44),,,,,,New Writing,,John Lehmann,,Anthology,English,,1944
New Writing and Daylight (Autumn 1944),,,,,,New Writing,,John Lehmann,,Anthology,English,,1944
The Sphere of Glass and Other Poems,,TheSphereOfGlassAndOtherPoems_001.tif,"Keith Vaughan, front cover of ""The Sphere of Glass and Other Poems"" ",Bruce Peel Library ,"Copyright Licensing, DACS",New Hogarth Library,John Lehmann,,,Poetry,English,,1944
Fireman Flower and Other Stories,,,,,,"A collection of assorted highly peculiar pieces in various genres. The dust jacket notes that ""Interspersed with these fables are several more realistic stories, some essays in pure fantasy, and one shorter description of actual fire-fighting experience, The Wall"" and Sansom himself describes ""The Wall"" as an allegorical tale in which real events are recounted without exaggeration but in which the behaviour of the characters is invented.",William Sansom,,,Short Fiction,English,,1944
The Inward Animal,,,,,,New Hogarth Library,Terence Tiller,,,Poetry,English,,1944
E. M. Forster: A Study,,,,,,The first full-length literary critical study of Forster's works.,Lionel Trilling,,,Literary Criticism,English,,1944
Nunwell Symphony,,,,,,"A history of the Oglanders of Nunwell, a family from the Isle of Wight whose family estate has housed several generations. Rather than depicting nobility, the book provides ""a simple picture of the life of the country squire and his family in the changing times of the past eight hundred years"" (10). This might be usefully compared to Vita Sackville-West's family history and the history of the house at Knole.",Cecil Aspinall-Oglander,,,Biography,English,,1945
Loving,,,,,,"A novel about life in an Irish country house in the second world war. A kind of twist on the upstairs-downstairs genre, in which the absence of the employers leads to intrigue among the servants.",Henry Green,,,Novel,English,,1945
New Writing and Daylight (1945),,,,,,New Writing,,John Lehmann,,Anthology,English,,1945
The problems of Lieutenant Knap,y,,,,,"A collection of interconnected Short Fiction about the main character, Lieutenant Knap. The book is a translation from the original Czech by Ewald Osers",Jiri Mucha,,Ewald Osers,Short Fiction,English,,1945
Back,,,,,,A novel about a veteran returning from a prison camp with a wooden leg.,Henry Green,,,Novel,English,,1946
Mist in the Tagus,,,,,,Novel by a British journalist.,Tom Hopkinson,,,Novel,English,,1946
Scottish Nursery Rhymes,,,,,,"The only book of Nursery Rhymes to be published by the Press, this could possibly go under poetry but would seem more in keeping with the Children's list.",William Montgomerie|Norah Montgomerie,,,Children's Literature,English,,1946
Three,,,,,,"The second collection of stories by the author of Fireman Flower, this book consists of three novella-length stories.",William Sansom,,,Novel,English,,1946
Law and Justice in Soviet Russia,,,,,,Day to Day Pamphlets,Harold J. Laski,,,,English,,1934
The Silver Anthology,,,,,,Anthology of poetry published by the Hogarth Press,,,,Anthology,English,,1944
